,arrival_date,adr,bookings,revenue
176,2015-12-24,2408.95,43.0,2742.38
177,2015-12-25,878.05,20.0,992.05
178,2015-12-26,1793.65,32.0,1943.95
179,2015-12-27,1865.4,33.0,1865.4
180,2015-12-28,1896.47,35.0,2003.52
181,2015-12-29,2288.71,24.0,2288.71
182,2015-12-30,16199.46,109.0,16575.66
183,2015-12-31,4298.82,35.0,4595.15
184,2016-01-01,757.92,12.0,998.02
185,2016-01-02,2528.0,40.0,2528.0
186,2016-01-03,1044.85,24.0,1044.85
187,2016-01-04,1695.7,33.0,1695.7
188,2016-01-05,736.12,19.0,736.12
189,2016-01-06,817.75,17.0,817.75
190,2016-01-07,920.03,20.0,920.03
191,2016-01-08,752.15,18.0,752.15
192,2016-01-09,1248.17,27.0,1248.17
193,2016-01-10,720.91,18.0,720.91
194,2016-01-11,1256.76,33.0,1417.76
195,2016-01-12,1409.92,34.0,1409.92
196,2016-01-13,928.99,27.0,928.99
197,2016-01-14,1294.43,34.0,1449.43
198,2016-01-15,1579.1100000000001,32.0,1650.31
199,2016-01-16,1324.03,28.0,1400.03
200,2016-01-17,563.8,10.0,563.8
201,2016-01-18,1159.5,30.0,1159.5
202,2016-01-19,1085.55,29.0,1085.55
203,2016-01-20,1181.65,30.0,1181.65
204,2016-01-21,998.0,23.0,998.0
205,2016-01-22,1075.08,22.0,1075.08
206,2016-01-23,1716.22,36.0,1808.22
207,2016-01-24,293.0,7.0,293.0
208,2016-01-25,651.72,16.0,651.72
209,2016-01-26,1426.23,41.0,1518.23
210,2016-01-27,847.08,20.0,847.08
211,2016-01-28,1785.03,41.0,2084.03
212,2016-01-29,1372.54,27.0,1372.54
213,2016-01-30,913.14,19.0,913.14
214,2016-01-31,614.55,12.0,614.55
215,2016-02-01,1042.07,26.0,1042.07
216,2016-02-02,1451.03,36.0,1533.03
217,2016-02-03,1137.55,28.0,1137.55
218,2016-02-04,1997.61,48.0,1997.61
219,2016-02-05,2592.78,50.0,2782.78
220,2016-02-06,4651.32,80.0,4856.32
221,2016-02-07,2158.96,38.0,2379.96
222,2016-02-08,1070.03,21.0,1070.03
223,2016-02-09,1438.25,32.0,1438.25
224,2016-02-10,1372.25,29.0,1372.25
225,2016-02-11,1381.84,26.0,1381.84
226,2016-02-12,4792.14,77.0,4952.64
227,2016-02-13,4314.48,69.0,4638.48
228,2016-02-14,2139.07,34.0,2286.27
229,2016-02-15,1400.11,33.0,1559.17
230,2016-02-16,1558.41,37.0,1558.41
231,2016-02-17,2021.96,43.0,2021.96
232,2016-02-18,1450.3,28.0,1548.3
233,2016-02-19,1048.81,20.0,1048.81
234,2016-02-20,1955.9,36.0,1955.9
235,2016-02-21,566.61,12.0,566.61
236,2016-02-22,1682.73,40.0,1682.73
237,2016-02-23,1024.47,26.0,1024.47
238,2016-02-24,1145.05,30.0,1267.55
239,2016-02-25,2020.11,47.0,2020.11
240,2016-02-26,2993.07,60.0,3157.07
241,2016-02-27,4989.56,91.0,5712.56
242,2016-02-28,899.39,19.0,899.39
243,2016-02-29,1109.13,24.0,1109.13
244,2016-03-01,1869.42,38.0,1869.42
245,2016-03-02,1592.61,37.0,1691.61
246,2016-03-03,877.8,20.0,877.8
247,2016-03-04,2638.44,57.0,2638.44
248,2016-03-05,2111.95,39.0,2186.95
249,2016-03-06,936.47,20.0,1114.47
250,2016-03-07,2627.6600000000003,54.0,2627.6600000000003
251,2016-03-08,1699.3,43.0,1699.3
252,2016-03-09,3810.65,60.0,3919.65
253,2016-03-10,1346.11,26.0,1346.11
254,2016-03-11,1992.69,49.0,1992.69
255,2016-03-12,2689.67,54.0,2785.17
256,2016-03-13,1182.01,26.0,1562.01
257,2016-03-14,1963.72,47.0,2072.72
258,2016-03-15,2079.54,49.0,2079.54
259,2016-03-16,1798.49,46.0,1798.49
260,2016-03-17,2627.58,66.0,2806.58
261,2016-03-18,2192.76,41.0,2192.76
262,2016-03-19,3705.18,66.0,4256.68
263,2016-03-20,2196.19,37.0,2313.19
264,2016-03-21,2747.56,54.0,2964.81
265,2016-03-22,2554.59,46.0,2714.09
266,2016-03-23,2570.72,37.0,2650.72
267,2016-03-24,8182.42,110.0,8910.14
268,2016-03-25,3395.85,39.0,3625.52
269,2016-03-26,1584.17,19.0,1694.67
270,2016-03-27,2051.22,37.0,2386.12
271,2016-03-28,2955.57,51.0,3208.77
272,2016-03-29,1984.05,42.0,2178.72
273,2016-03-30,2856.64,53.0,3051.14
274,2016-03-31,5812.0,89.0,5812.0
275,2016-04-01,1505.68,22.0,1639.74
276,2016-04-02,1541.65,22.0,1663.15
277,2016-04-03,1828.13,25.0,1941.13
278,2016-04-04,5412.29,83.0,5707.29
279,2016-04-05,2302.13,40.0,2415.13
280,2016-04-06,2687.31,47.0,2913.81
281,2016-04-07,4148.1,66.0,4148.1
282,2016-04-08,2394.92,41.0,2512.92
283,2016-04-09,2936.42,56.0,3082.8
284,2016-04-10,2574.89,42.0,2805.14
285,2016-04-11,2551.9700000000003,46.0,2551.9700000000003
286,2016-04-12,2052.48,33.0,2052.48
287,2016-04-13,2481.66,36.0,2481.66
288,2016-04-14,2324.31,35.0,2447.31
289,2016-04-15,1708.25,26.0,1826.25
290,2016-04-16,3795.86,56.0,3869.62
291,2016-04-17,1663.69,26.0,1778.69
292,2016-04-18,5991.66,90.0,5991.66
293,2016-04-19,2687.93,43.0,2687.93
294,2016-04-20,2421.29,39.0,2421.29
295,2016-04-21,1436.93,22.0,1436.93
296,2016-04-22,5452.69,67.0,5582.69
297,2016-04-23,3806.36,51.0,4436.76
298,2016-04-24,2046.72,30.0,2164.7200000000003
299,2016-04-25,1920.28,28.0,1920.28
300,2016-04-26,3236.2,54.0,3236.2
301,2016-04-27,3620.39,51.0,3620.39
302,2016-04-28,3018.4,49.0,3530.12
303,2016-04-29,3355.81,52.0,3355.81
304,2016-04-30,7283.38,96.0,7596.88
305,2016-05-01,1665.23,27.0,1872.23
306,2016-05-02,5794.46,79.0,5941.46
307,2016-05-03,1671.17,28.0,1671.17
308,2016-05-04,2871.68,39.0,3006.68
309,2016-05-05,2759.77,49.0,2900.77
310,2016-05-06,2030.91,30.0,2030.91
311,2016-05-07,3632.32,50.0,3632.32
312,2016-05-08,3042.0,45.0,3042.0
313,2016-05-09,2199.55,36.0,2199.55
314,2016-05-10,2208.08,35.0,2344.08
315,2016-05-11,2489.63,35.0,2489.63
316,2016-05-12,5131.41,89.0,5405.41
317,2016-05-13,1441.0,21.0,1701.0
318,2016-05-14,4219.04,55.0,4364.04
319,2016-05-15,3935.8,55.0,4075.8
320,2016-05-16,5711.31,82.0,6122.31
321,2016-05-17,2591.18,47.0,2733.1800000000003
322,2016-05-18,2562.04,37.0,2562.04
323,2016-05-19,4350.39,65.0,4883.39
324,2016-05-20,2021.51,28.0,2580.79
325,2016-05-21,2527.38,31.0,2527.38
326,2016-05-22,2462.74,36.0,2651.7400000000002
327,2016-05-23,1992.96,29.0,1992.96
328,2016-05-24,2553.83,40.0,2653.63
329,2016-05-25,2844.34,41.0,3192.34
330,2016-05-26,4275.88,63.0,4549.88
331,2016-05-27,1246.24,17.0,1391.24
332,2016-05-28,2636.85,32.0,2781.85
333,2016-05-29,2292.1,30.0,2553.96
334,2016-05-30,5001.13,65.0,5076.23
335,2016-05-31,3838.79,48.0,3933.81
336,2016-06-01,3900.35,46.0,4071.35
337,2016-06-02,4212.61,49.0,4212.61
338,2016-06-03,3266.25,35.0,3797.25
339,2016-06-04,2803.77,31.0,2989.77
340,2016-06-05,2801.71,29.0,2975.71
341,2016-06-06,3630.78,39.0,3804.78
342,2016-06-07,2281.73,23.0,2487.73
343,2016-06-08,1792.4,19.0,1792.4
344,2016-06-09,3161.11,32.0,3161.11
345,2016-06-10,3840.12,33.0,4393.12
346,2016-06-11,3677.4900000000002,40.0,3677.4900000000002
347,2016-06-12,4671.4,46.0,5555.2
348,2016-06-13,3659.44,41.0,3987.04
349,2016-06-14,1439.84,19.0,1439.84
350,2016-06-15,3137.38,36.0,3560.38
351,2016-06-16,3105.42,30.0,3689.42
352,2016-06-17,3855.99,40.0,4458.09
353,2016-06-18,3448.32,38.0,3634.32
354,2016-06-19,2088.25,23.0,2088.25
355,2016-06-20,3125.55,37.0,3515.55
356,2016-06-21,4227.8,51.0,5106.47
357,2016-06-22,3833.5,43.0,4014.5
358,2016-06-23,2854.06,38.0,3355.06
359,2016-06-24,1411.9,16.0,1411.9
360,2016-06-25,6272.33,51.0,6946.04
361,2016-06-26,4049.41,42.0,4451.58
362,2016-06-27,2453.57,26.0,2604.26
363,2016-06-28,2510.63,30.0,2670.63
364,2016-06-29,1189.46,14.0,1189.46
365,2016-06-30,4855.03,49.0,5476.09
366,2016-07-01,2154.46,22.0,2669.71
367,2016-07-02,3965.2599999999998,38.0,4370.59
368,2016-07-03,2698.0,24.0,3047.3
369,2016-07-04,5286.73,47.0,5809.18
370,2016-07-05,4385.32,36.0,5189.25
371,2016-07-06,2486.13,20.0,2621.43
372,2016-07-07,3473.39,28.0,3824.14
373,2016-07-08,3697.71,27.0,4030.21
374,2016-07-09,4443.55,37.0,4981.8
375,2016-07-10,3048.49,26.0,3242.49
376,2016-07-11,4324.89,35.0,5524.46
377,2016-07-12,3340.12,27.0,3340.12
378,2016-07-13,2804.91,21.0,3381.44
379,2016-07-14,4951.57,35.0,5627.57
380,2016-07-15,6516.63,42.0,7487.13
381,2016-07-16,5727.87,38.0,5727.87
382,2016-07-17,6071.46,34.0,6613.46
383,2016-07-18,8009.12,52.0,8885.12
384,2016-07-19,4950.63,34.0,5477.63
385,2016-07-20,4020.49,30.0,4247.49
386,2016-07-21,5990.63,43.0,7192.63
387,2016-07-22,4745.6,33.0,5640.8
388,2016-07-23,6979.8,44.0,7838.8
389,2016-07-24,5303.96,34.0,5303.96
390,2016-07-25,6708.88,43.0,7219.74
391,2016-07-26,4506.32,28.0,4994.32
392,2016-07-27,4206.03,26.0,4370.03
393,2016-07-28,5675.01,35.0,6554.22
394,2016-07-29,5842.83,33.0,6372.66
395,2016-07-30,8365.79,52.0,9318.91
396,2016-07-31,6282.37,40.0,6908.08
397,2016-08-01,10444.63,68.0,12019.130000000001
398,2016-08-02,5991.82,34.0,6804.03
399,2016-08-03,4796.33,26.0,4796.33
400,2016-08-04,7285.42,41.0,8223.93
401,2016-08-05,6241.3099999999995,31.0,6946.98
402,2016-08-06,6425.06,35.0,7263.46
403,2016-08-07,6733.96,37.0,7547.96
404,2016-08-08,10080.23,58.0,10928.63
405,2016-08-09,4579.17,24.0,5067.22
406,2016-08-10,5898.04,33.0,6674.64
407,2016-08-11,7742.09,39.0,8501.63
408,2016-08-12,8026.95,45.0,9312.95
409,2016-08-13,8298.37,47.0,9947.77
410,2016-08-14,6070.48,30.0,6388.15
411,2016-08-15,9294.23,53.0,10590.25
412,2016-08-16,7646.86,41.0,8787.54
413,2016-08-17,5772.8,30.0,6468.1
414,2016-08-18,7968.81,44.0,8858.81
415,2016-08-19,5433.8099999999995,32.0,5942.81
416,2016-08-20,8522.8,44.0,9011.4
417,2016-08-21,5231.21,32.0,5759.21
418,2016-08-22,10123.14,54.0,11466.58
419,2016-08-23,5141.73,30.0,5688.5599999999995
420,2016-08-24,4518.73,24.0,4829.73
421,2016-08-25,4400.09,30.0,4881.32
422,2016-08-26,6749.0,41.0,7262.0
423,2016-08-27,7493.77,48.0,8060.77
424,2016-08-28,6224.51,36.0,6750.51
425,2016-08-29,5750.13,46.0,6514.03
426,2016-08-30,4160.7,32.0,4658.7
427,2016-08-31,4049.35,33.0,4822.68
428,2016-09-01,5506.05,48.0,6255.86
429,2016-09-02,4366.89,36.0,4366.89
430,2016-09-03,4981.95,38.0,5232.95
431,2016-09-04,3275.52,26.0,3275.52
432,2016-09-05,5117.11,44.0,5278.86
433,2016-09-06,2630.96,22.0,3274.96
434,2016-09-07,1558.04,14.0,1934.04
435,2016-09-08,2649.92,21.0,2868.92
436,2016-09-09,4767.28,39.0,4767.28
437,2016-09-10,4495.1,38.0,4706.099999999999
438,2016-09-11,3828.44,34.0,4031.87
439,2016-09-12,4470.72,40.0,4671.72
440,2016-09-13,3411.92,31.0,3612.92
441,2016-09-14,2835.51,36.0,3019.84
442,2016-09-15,6028.92,81.0,6364.92
443,2016-09-16,2402.64,22.0,2733.78
444,2016-09-17,2967.43,26.0,3518.96
445,2016-09-18,5444.4,60.0,5444.4
446,2016-09-19,4880.17,52.0,4880.17
447,2016-09-20,4284.67,56.0,4904.0
448,2016-09-21,3631.2,42.0,3631.2
449,2016-09-22,1968.03,21.0,1968.03
450,2016-09-23,2971.09,28.0,3280.95
451,2016-09-24,3240.15,27.0,3614.29
452,2016-09-25,2532.12,32.0,2701.12
453,2016-09-26,5522.34,68.0,5764.91
454,2016-09-27,2938.47,30.0,3091.47
455,2016-09-28,2303.62,25.0,2704.12
456,2016-09-29,3097.69,41.0,3247.69
457,2016-09-30,3233.09,29.0,3233.09
458,2016-10-01,1944.82,20.0,1944.82
459,2016-10-02,2733.46,33.0,2733.46
460,2016-10-03,3005.11,38.0,3175.61
461,2016-10-04,2930.95,36.0,3277.95
462,2016-10-05,2794.0099999999998,38.0,2794.0099999999998
463,2016-10-06,5352.81,95.0,5522.81
464,2016-10-07,1614.09,22.0,2239.84
465,2016-10-08,2267.07,31.0,2562.07
466,2016-10-09,4552.33,76.0,4552.33
467,2016-10-10,2326.05,39.0,2461.05
468,2016-10-11,4196.08,65.0,4196.08
469,2016-10-12,6352.3,93.0,6352.3
470,2016-10-13,1308.95,20.0,1308.95
471,2016-10-14,1494.85,22.0,1494.85
472,2016-10-15,783.64,14.0,1051.35
473,2016-10-16,4089.51,62.0,4234.26
474,2016-10-17,2339.13,38.0,2457.13
475,2016-10-18,3380.53,55.0,3380.53
476,2016-10-19,2538.0099999999998,41.0,2538.0099999999998
477,2016-10-20,4825.68,87.0,4960.68
478,2016-10-21,2623.4700000000003,32.0,2623.4700000000003
479,2016-10-22,2709.59,35.0,2837.73
480,2016-10-23,2752.95,49.0,2752.95
481,2016-10-24,2704.25,47.0,2843.25
482,2016-10-25,2521.76,40.0,2882.76
483,2016-10-26,3126.86,47.0,3262.86
484,2016-10-27,2493.89,39.0,2632.94
485,2016-10-28,3206.25,49.0,3312.05
486,2016-10-29,3943.84,78.0,4135.55
487,2016-10-30,3145.75,52.0,3274.45
488,2016-10-31,2957.49,54.0,3352.4900000000002
489,2016-11-01,1595.68,31.0,1595.68
490,2016-11-02,1928.2,36.0,1928.2
491,2016-11-03,1996.81,43.0,2084.81
492,2016-11-04,2695.73,50.0,2969.73
493,2016-11-05,2973.37,54.0,3062.47
494,2016-11-06,1398.58,25.0,1398.58
495,2016-11-07,2200.65,38.0,2200.65
496,2016-11-08,2024.86,42.0,2130.86
497,2016-11-09,1232.81,36.0,1319.81
498,2016-11-10,2037.67,38.0,2037.67
499,2016-11-11,1643.23,31.0,1643.23
500,2016-11-12,2160.6,42.0,2290.6
501,2016-11-13,1730.06,31.0,1730.06
502,2016-11-14,2484.68,46.0,2484.68
503,2016-11-15,2157.37,46.0,2157.37
504,2016-11-16,1445.67,29.0,1445.67
505,2016-11-17,2355.6,49.0,2355.6
506,2016-11-18,3067.83,58.0,3153.0299999999997
507,2016-11-19,2604.13,48.0,2604.13
508,2016-11-20,1079.24,20.0,1079.24
509,2016-11-21,1339.35,30.0,1423.47
510,2016-11-22,706.59,19.0,706.59
511,2016-11-23,1144.78,25.0,1144.78
512,2016-11-24,1418.15,30.0,1511.15
513,2016-11-25,2017.68,39.0,2168.68
514,2016-11-26,2185.13,43.0,2360.13
515,2016-11-27,702.54,13.0,702.54
516,2016-11-28,1433.86,33.0,1433.86
517,2016-11-29,1571.8,33.0,1571.8
518,2016-11-30,613.92,13.0,613.92
519,2016-12-01,2159.99,38.0,2250.32
520,2016-12-02,2628.2799999999997,54.0,2914.2799999999997
521,2016-12-03,3767.41,62.0,4313.41
522,2016-12-04,963.73,17.0,963.73
523,2016-12-05,3349.18,48.0,3349.18
524,2016-12-06,849.58,22.0,955.58
525,2016-12-07,992.3499999999999,22.0,992.3499999999999
526,2016-12-08,3946.07,60.0,3946.07
527,2016-12-09,1006.62,20.0,1006.62
528,2016-12-10,1801.31,33.0,1987.31
529,2016-12-11,560.24,13.0,560.24
530,2016-12-12,1277.83,31.0,1334.23
531,2016-12-13,1105.63,30.0,1105.63
532,2016-12-14,1219.9,36.0,1219.9
533,2016-12-15,1301.99,31.0,1400.99
534,2016-12-16,1848.94,38.0,1848.94
535,2016-12-17,2594.55,45.0,2594.55
536,2016-12-18,709.76,15.0,975.06
537,2016-12-19,1616.46,36.0,1705.8600000000001
538,2016-12-20,1184.41,24.0,1277.41
539,2016-12-21,1280.86,26.0,1560.97
540,2016-12-22,2456.24,38.0,2456.24
541,2016-12-23,2805.07,46.0,3077.07
542,2016-12-24,3370.37,50.0,3573.56
543,2016-12-25,1293.1100000000001,22.0,1562.1100000000001
544,2016-12-26,1850.53,31.0,2162.5299999999997
545,2016-12-27,1887.24,31.0,1887.24
546,2016-12-28,2512.63,26.0,2512.63
547,2016-12-29,2367.09,28.0,2486.09
548,2016-12-30,17283.23,94.0,17971.98
549,2016-12-31,3375.61,26.0,4050.94
550,2017-01-01,936.25,16.0,1028.0
551,2017-01-02,2259.67,42.0,2259.67
552,2017-01-03,1213.94,24.0,1405.34
553,2017-01-04,1216.67,27.0,1216.67
554,2017-01-05,1565.58,29.0,1565.58
555,2017-01-06,2152.02,40.0,2288.02
556,2017-01-07,1719.28,32.0,1814.28
557,2017-01-08,1140.9,25.0,1229.9
558,2017-01-09,1216.3,28.0,1311.3
559,2017-01-10,1334.92,33.0,1334.92
560,2017-01-11,817.41,16.0,817.41
561,2017-01-12,1656.44,37.0,1656.44
562,2017-01-13,846.15,20.0,846.15
563,2017-01-14,3661.07,61.0,3661.07
564,2017-01-15,784.21,17.0,784.21
565,2017-01-16,6140.43,114.0,6140.43
566,2017-01-17,1335.0,34.0,1429.0
567,2017-01-18,1407.32,27.0,1407.32
568,2017-01-19,2525.52,49.0,2845.42
569,2017-01-20,835.96,16.0,835.96
570,2017-01-21,2279.42,44.0,2279.42
571,2017-01-22,1137.7,20.0,1137.7
572,2017-01-23,1144.84,26.0,1144.84
573,2017-01-24,1519.31,32.0,1519.31
574,2017-01-25,1640.77,38.0,1640.77
575,2017-01-26,2458.43,51.0,2511.7599999999998
576,2017-01-27,3594.86,68.0,3701.36
577,2017-01-28,2423.65,43.0,2615.65
578,2017-01-29,1558.27,33.0,1700.67
579,2017-01-30,2518.53,53.0,2797.53
580,2017-01-31,1249.51,30.0,1249.51
581,2017-02-01,1141.88,30.0,1141.88
582,2017-02-02,1092.22,24.0,1092.22
583,2017-02-03,2223.45,40.0,2399.45
584,2017-02-04,3405.56,66.0,3405.56
585,2017-02-05,659.61,12.0,659.61
586,2017-02-06,3865.83,54.0,3865.83
587,2017-02-07,1095.26,24.0,1095.26
588,2017-02-08,1768.23,36.0,1768.23
589,2017-02-09,1986.42,41.0,1986.42
590,2017-02-10,2539.72,45.0,2539.72
591,2017-02-11,2769.15,49.0,2955.51
592,2017-02-12,1893.33,33.0,2116.89
593,2017-02-13,4191.71,71.0,4191.71
594,2017-02-14,2689.68,48.0,2871.68
595,2017-02-15,1607.19,27.0,1607.19
596,2017-02-16,2178.06,43.0,2445.18
597,2017-02-17,4162.87,78.0,4504.87
598,2017-02-18,3514.96,64.0,4183.46
599,2017-02-19,1500.9,29.0,1500.9
600,2017-02-20,2318.59,50.0,2456.39
601,2017-02-21,1863.01,44.0,2133.01
602,2017-02-22,2701.95,51.0,2701.95
